Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.88929510807625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.287530004274156,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999.99,
237.4032977002819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.203605051931447,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522.621074332144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.569265277586382,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794.4254367359171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8476356187627,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873.4510212941402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.01110744033149,
635.1802351051058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.94305082639045,
474.2249601810188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.37699127622665,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.0,
171.59779343218494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.85973882852153,
185.32823753221595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.3990357010217,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.063065579992053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.96414878025645,
929.857874589322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.0843237540089,
809.1569438654788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.5724640677984,
647.9965384853873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.356558118284546,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460.52977872908775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.57860062568807,
199.16040751009268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.87409241637893,
99999999999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773.4471044161622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.5135420049849,
410.7198462798821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.1080923780573,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999999999.99,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.32101945983075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.56313968405428,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356.835128722913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.9799306571801,
402.706333601807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.8968015331038,
222.3882795447677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.48525119135766,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768.234109600732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4539077248693,
465.251180813529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.29655796609194,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989.6534042509414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.43745462008215,
970.4203014415476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.3583152456011,
81.6260537682626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.59218451070655,
825.0687077499159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00510545723074,
992.8769001290755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.33532194002649,
967.3778198546024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.4424072313354,
362.00586269051905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.08511937958812,
189.97587557911487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.64657273869153,
640.0957516339625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.87618297928445,
512.1931875856104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.35790524609513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888.1775232304741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.85408243090612,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714.9056371499141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.882261775790954,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.0,
658.1738592329988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.973320375453655,
639.955306291176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.2659584367745,
522.3240245147844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.4878591862134,
426.88829470919256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.25237651067107,
504.1162951935919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.35897686488164,
190.42716333879451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.69678421594824,
99999999999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495.404888263924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.434369723047,
705.059093539269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.8704943947578,
769.2381307298951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.07870546774146,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674.0005066492575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3550157930210043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.74000239749046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.29055469787426,
278.60708574325963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.59535128551266,
838.7296507729384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.37782629330513,
267.16315109520474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.1563279543031,
118.05357681065709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.36977049099136,
